"collection1"
"title.text","title.href","author","dates","txt"
"Основы статистики","https://stepic.org/course/Основы-статистики-76","Анатолий Карпов","","Курс знакомит слушателей с основными понятиями и методами математической статистики. В течение трех недель мы рассмотрим наиболее ..."
"Молекулярная биология и генетика","https://stepic.org/course/Молекулярная-биология-и-генетика-70","Павел Добрынин","","Курс рассказывает об основных понятиях молекулярной биологии и генетики, начиная от организации клетки и заканчивая микро- и макро..."
"Программирование на Python","https://stepic.org/course/Программирование-на-Python-67","Павел Федотов","","Курс посвящен базовым понятиям и элементам языка программирования Python (операторы, числовые и строковые переменные, списки, усло..."
"Базовый курс подготовки к ОГЭ по математике","https://stepic.org/course/Базовый-курс-подготовки-к-ОГЭ-по-математике-85","Анна Зубаха (Крохалева)","Начало: 1 февраля 2015 г.","Цель данного курса – устранить основные пробелы в знаниях учеников 7-9 классов и подготовить их к сдаче основного государственного..."
"Linear Algebra: Problems and Methods","https://stepic.org/course/Linear-Algebra-Problems-and-Methods-79","Nikolay Gusev","3 апреля 2015 г. — 3 августа 2015 г.","The goal of the course is explain the fundamental ideas of linear algebra and how to use them to find easy solutions of hard probl..."
"Управление интеллектуальной собственностью: основы для инженеров","https://stepic.org/course/Управление-интеллектуальной-собственностью-основы-для-инженеров-88","Андрей Рожнов","27 апреля 2015 г. — 14 июля 2015 г.","В курсе рассматриваются вопросы защиты и управления различными объектами интеллектуальной собственности: изобретениями, дизайном, ..."
"Инвестиционный банкинг изнутри","https://stepic.org/course/Инвестиционный-банкинг-изнутри-82","Буев Максим Вячеславович","5 мая 2015 г. — 14 июля 2015 г.","Курс о различных типах карьеры в инвестиционных банках, хеджевых фондах, инвестиционных фирмах – о том, что и как делают в банковс..."
"Анализ данных в R","https://stepic.org/course/Анализ-данных-в-R-129","Анатолий Карпов","15 июня 2015 г. — 20 июля 2015 г.","В рамках трёхнедельного курса рассматриваются все основные этапы статистического анализа R, считывание данных, предобработка данны..."
"Биотехнологии: генная инженерия","https://stepic.org/course/Биотехнологии-генная-инженерия-94","Александр Ткаченко","1 сентября 2015 г. — 6 октября 2015 г.","Первая часть курса по биотехнологиям. Курс рассчитан на широкую аудиторию и освещает базовые понятия генной инженерии, такие как р..."
"Введение в архитектуру ЭВМ. Элементы операционных систем.","https://stepic.org/course/Введение-в-архитектуру-ЭВМ-Элементы-операционных-систем-65","Кирилл Кринкин","14 сентября 2014 г. — 3 ноября 2014 г.","Данный обзорный курс позволяет понять основы функционирования компьютерной техники. В рамках изучения курса слушатель поймет, как ..."
"Программирование на языке C++","https://stepic.org/course/Программирование-на-языке-C++-7","Александр Смаль","14 сентября 2014 г. — 10 ноября 2014 г.","Данный базовый курс повествует об основных средствах языка C++. Особое внимание уделяется обсуждению базовых принципов работы прог..."
"Алгоритмы и структуры данных","https://stepic.org/course/Алгоритмы-и-структуры-данных-63","Александр Куликов","14 сентября 2014 г. — 10 ноября 2014 г.","Курс знакомит слушателей с базовыми алгоритмами (метод «разделяй и властвуй», поиск в массиве, сортировка массива, алгоритмы на гр..."
"Введение в Linux","https://stepic.org/course/Введение-в-Linux-73","Алексей Гуревич","10 ноября 2014 г. — 8 декабря 2014 г.","Курс знакомит слушателей с операционной системой Linux и основами её использования. В рамках курса мы покажем как установить Linux..."
"Археология фольклора: мифологические мотивы на карте мира","https://stepic.org/course/Археология-фольклора-мифологические-мотивы-на-карте-мира-51","Березкин Юрий Евгеньевич","2 февраля 2015 г. — 1 апреля 2015 г.","Исследование мирового фольклора позволяет увидеть распространение отдельных фольклорных мотивов в разных традициях и сделать вывод..."
"Компьютерная графика: основы","https://stepic.org/course/Компьютерная-графика-основы-84","Денис Королев","9 марта 2015 г. — 12 апреля 2015 г.","Обзорный курс для студентов младших курсов инженерного направления обучения. Начинается с физических основ и далее рассматривает ф..."
"Ликбез по дискретной математике","https://stepic.org/course/Ликбез-по-дискретной-математике-91","Александр Омельченко","2 марта 2015 г. — 4 мая 2015 г.","Это обзорный курс по дискретной математике. Студенту начальных курсов он может быть полезен для повторения материала перед экзамен..."
"Введение в математический анализ","https://stepic.org/course/Введение-в-математический-анализ-95","Александр Храбров","30 марта 2015 г. — 11 мая 2015 г.","Курс знакомит слушателей с базовыми понятиями математического анализа:
последовательностями, пределами, непрерывностью, производн..."
"Дискретные структуры","https://stepic.org/course/Дискретные-структуры-83","Александр Дайняк","7 марта 2015 г. — 1 июня 2015 г.","Это базовый курс дискретной математики и комбинаторики. Он для всех, кто хочет развить математическую интуицию, помогающую в работ..."

